AGB,Augsburg,10.931764,48.425158
AGC,Allegheny County Airport,-79.9302,40.3544
AGE,Wangerooge Airport,7.91389,53.7828
AGF,La Garenne,0.590556,44.174721
AGH,Ängelholm-Helsingborg Airport,12.8471,56.2961
AGI,Wageningen Airstrip,-56.63333,5.76667
AGJ,Aguni Airport,127.240278,26.592778
AGL,Wanigela Airport,149.15,-9.333
AGM,Tasiilaq,-37.618333,65.612222
AGN,Angoon Seaplane Base,-134.585,57.503611
AGP,Malaga,-4.499106,36.6749
AGQ,Agrinion,21.351208,38.602022
AGR,Agra,77.960892,27.155831
AGS,Augusta Rgnl At Bush Fld,-81.9645,33.369944
AGT,Ciudad del Este,-54.843592,-25.4555
AGU,Jesus Teran Intl,-102.317858,21.705558
AGV,Oswaldo Guevara Mujica,-69.237536,9.553422
AGX,Agatti,72.176042,10.823656
AGZ,Aggeneys,18.813869,-29.281767
AHB,Abha,42.656625,18.240367
AHE,Ahe Airport,-146.257,-14.4281
AHN,Athens Ben Epps Airport,-83.3263,33.9486
AHO,Alghero,8.290772,40.632133
AHS,Ahuas Airport,-84.3522,15.4722
AHU,Cherif El Idrissi,-3.839525,35.177103
AIA,Alliance Municipal Airport,-102.803889,42.053333
AIC,Airok Airport,171.233333,7.1
AIE,Aiome,144.44,-5.8
AIM,Ailuk Airport,169.983,10.2168
AIN,Wainwright Airport,-159.994722,70.638056
AIS,Arorae Island Airport,179.816667,-2.633333
AIT,Aitutaki,-159.764233,-18.830922
AIU,Atiu Island Airport,-158.119,-19.9678
AIZ,Lee C Fine Memorial Airport,-92.5494875,38.096035
AJA,Campo Dell Oro,8.802917,41.923637
AJF,Al-Jawf Domestic Airport,40.100006,29.785133
AJI,Agri Airport,43.0271,39.6546
AJL,Aizawl,92.802767,23.746603
AJN,Ouani,44.430279,-12.131667
AJR,Arvidsjaur,19.281944,65.590278
AJU,Santa Maria,-37.070333,-10.984
AJY,Manu Dayak,8.000114,16.965997
AKA,Ankang Airport,108.931,32.7081
AKB,Atka Airport,-174.206389,52.220278
AKD,Akola,77.058628,20.699006
AKF,Kufra,23.313958,24.178728
AKI,Akiak Airport,-161.230556,60.902778
AKJ,Asahikawa,142.4475,43.670833
AKK,Akhiok Airport,-154.1825,56.938611
AKL,Auckland Intl,174.791667,-37.008056
AKN,King Salmon,-156.649278,58.676778
AKP,Anaktuvuk Pass Airport,-151.743,68.1336
AKR,Akure,5.301008,7.246739
AKS,Auki Airport,160.682,-8.70257
AKT,Akrotiri,32.987861,34.590416
AKU,Aksu Airport,80.2917,41.2625
AKV,Akulivik Airport,-78.1486,60.8186
AKX,Aktyubinsk,57.206667,50.245833
AKY,Sittwe,92.872628,20.132708
ALA,Almaty,77.040508,43.352072
ALB,Albany Intl,-73.801692,42.748267
ALC,Alicante,-0.558156,38.282169
ALF,Alta,23.371667,69.976111
ALG,Houari Boumediene,3.215408,36.691014
ALH,Albany Airport,117.809,-34.9433
ALI,Alice Intl,-98.026944,27.740889
ALJ,Alexander Bay,16.533333,-28.575001
ALL,Albenga,8.127428,44.050608
ALM,Alamogordo White Sands Regional Airport,-105.991,32.8399
ALO,Waterloo Regional Airport,-92.4003,42.5571
ALP,Aleppo Intl,37.224358,36.180675
ALR,Alexandra,169.373333,-45.211666
ALS,San Luis Valley Regional Airport,-105.866667,37.435
ALU,Alula Airport,50.733,11.95
